name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery,qa_flags,qa_recommendation
Brighton Gardens of Stamford,bellevue.boc@sunriseseniorliving.com,+1 203-322-2100,https://www.sunriseseniorliving.com/communities/ct/brighton-gardens-of-stamford%3Futm_source%3Ddirectory_listings%26utm_medium%3Dclicks%26utm_campaign%3Dgoogle,"59 Roxbury Rd, Stamford, CT 06902",Stamford,Connecticut,Assisted living facility,4.9,31,,https://search.google.com/local/reviews?placeid=ChIJdxDmWtWjwokRJGWBTk5AeFg&q=*&authuser=0&hl=en&gl=US,,,ai,"senior living, Connecticut, USA",,ok
The Residence at Selleck's Woods,llepage@lcbseniorliving.com,+1 475-328-1215,https://www.lcbseniorliving.com/communities/residence-at-sellecks-woods/,"1 Parklands Dr, Darien, CT 06820",Darien,Connecticut,Assisted living facility,4.8,40,,https://search.google.com/local/reviews?placeid=ChIJ76lZ1Sge6IkRm0539EPNPTE&q=*&authuser=0&hl=en&gl=US,,,ai,"senior living, Connecticut, USA",,ok
Milford Med Spa,frontdesk@holistichealingpartners.com,+1 203-701-6161,http://milfordmedspa.com/,"99 Cherry St Suite F, Milford, CT 06460",Milford,Connecticut,Medical spa,4.9,373,,https://search.google.com/local/reviews?placeid=ChIJa41x81Z16IkRUNRPJwnGBJY&q=*&authuser=0&hl=en&gl=US,,,ai,"med spa, Connecticut, USA",,ok
The MedSpa Old Wethersfield,feelgood@ctfacialmedspa.com,+1 860-506-0050,https://ctfacialmedspa.com/,"249 Main St, Wethersfield, CT 06109",Wethersfield,Connecticut,Medical spa,4.9,70,,https://search.google.com/local/reviews?placeid=ChIJPxmATcNT5okRXHCrTOJ8Ji0&q=*&authuser=0&hl=en&gl=US,,,ai,"med spa, Connecticut, USA",,ok
Chiropractic Health Center of Glastonbury,team@glastonburychiro.com,+1 860-657-8800,http://www.glastonburychiro.com/,"2934 Main St, Glastonbury, CT 06033",Glastonbury,Connecticut,Chiropractor,5,634,,https://search.google.com/local/reviews?placeid=ChIJBWmMCYBR5okRZgm6ad9mZ6s&q=*&authuser=0&hl=en&gl=US,,,ai,"chiropractor, Connecticut, USA",,ok
Stratford Chiropractic Spine & Injury Center,drdrew@drpesale.com,+1 203-386-9100,https://drpesale.com/,"2505 Main St, Stratford, CT 06615",Stratford,Connecticut,Chiropractor,5,596,,https://search.google.com/local/reviews?placeid=ChIJ43SBYfYM6IkRGVNZeS4mRxI&q=*&authuser=0&hl=en&gl=US,,,ai,"chiropractor, Connecticut, USA",,ok
Berglund Chiropractic & Wellness LLC,micah@micahrich.com,+1 203-978-1100,http://berglundchiro.com/,"66 Glenbrook Rd #100, Stamford, CT 06902",Stamford,Connecticut,Chiropractor,5,713,,https://search.google.com/local/reviews?placeid=ChIJdzzBbMShwokRgwT-Mp8UNfM&q=*&authuser=0&hl=en&gl=US,,,ai,"chiropractor, Connecticut, USA",,ok
"Law Office of Michael L. Chambers, Jr., Car Accident & Personal Injury Attorneys - Hartford",michael@mchamberslaw.com,+1 860-791-3302,https://mchamberslaw.com/%3Futm_source%3Dgbp%26utm_campaign%3DHartford,"2 Congress St #2C, Hartford, CT 06114",Hartford,Connecticut,Law firm,5,308,,https://search.google.com/local/reviews?placeid=ChIJfd64XGVT5okRr9ShMm2RVA4&q=*&authuser=0&hl=en&gl=US,,,ai,"law firm, Connecticut, USA",,ok
"Tindall Law Firm, LLC",tavis@tindall-lawfirm.com,+1 203-755-0018,http://tindall-lawfirm.com/,"64 Holmes Ave, Waterbury, CT 06710",Waterbury,Connecticut,Trial attorney,5,242,,https://search.google.com/local/reviews?placeid=ChIJLV3s6VTA54kRb9qw3w91stQ&q=*&authuser=0&hl=en&gl=US,,,ai,"law firm, Connecticut, USA",,ok
Dentist in Stamford CT - Supreme Dentist Stamford - Dental Implant Specialist and Emergency Dentist,office@supremedentalct.com,+1 203-348-5612,https://supremedentalct.com/,"44 Strawberry Hill Ave STE 9, Stamford, CT 06902",Stamford,Connecticut,Dentist,4.8,301,,https://search.google.com/local/reviews?placeid=ChIJIVptQj6hwokR3SoQ_cQl4hk&q=*&authuser=0&hl=en&gl=US,,,ai,"dental office, Connecticut, USA",,ok
