name,email,qa_flags,qa_recommendation,import_source_file
"Brightview Shelton - Senior Independent Living, Assisted Living, Memory Care",info@bvsl.net,,ok,tmp-reach-ai-live-import-ghl-results.json
The Village at Brookfield Common,bbernst@benchmarkquality.com,,ok,tmp-reach-ai-live-import-ghl-results.json
Shady Oaks Assisted Living LLC,ron@shadyoaksassistedliving.com,,ok,tmp-reach-ai-live-import-ghl-results.json
Shady Oaks Assisted Living LLC,v.belanger@shadyoaksassistedliving.com,,ok,tmp-reach-ai-live-import-ghl-results.json
Brighton Gardens of Stamford,bellevue.boc@sunriseseniorliving.com,,ok,tmp-reach-warmup-ai-2026-05-20-import-ghl-results.json
Milford Med Spa,frontdesk@holistichealingpartners.com,,ok,tmp-reach-warmup-ai-2026-05-20-import-ghl-results.json
The MedSpa Old Wethersfield,feelgood@ctfacialmedspa.com,,ok,tmp-reach-warmup-ai-2026-05-20-import-ghl-results.json
Chiropractic Health Center of Glastonbury,team@glastonburychiro.com,,ok,tmp-reach-warmup-ai-2026-05-20-import-ghl-results.json
Stratford Chiropractic Spine & Injury Center,drdrew@drpesale.com,,ok,tmp-reach-warmup-ai-2026-05-20-import-ghl-results.json
Berglund Chiropractic & Wellness LLC,micah@micahrich.com,,ok,tmp-reach-warmup-ai-2026-05-20-import-ghl-results.json
"Law Office of Michael L. Chambers, Jr., Car Accident & Personal Injury Attorneys - Hartford",michael@mchamberslaw.com,,ok,tmp-reach-warmup-ai-2026-05-20-import-ghl-results.json
"Tindall Law Firm, LLC",tavis@tindall-lawfirm.com,,ok,tmp-reach-warmup-ai-2026-05-20-import-ghl-results.json
Dentist in Stamford CT - Supreme Dentist Stamford - Dental Implant Specialist and Emergency Dentist,office@supremedentalct.com,,ok,tmp-reach-warmup-ai-2026-05-20-import-ghl-results.json
Center Dental Office,info@centerdentaloffice.com,,ok,tmp-reach-warmup-ai-2026-05-20-import-ghl-results.json
Westchester Center for Independent & Assisted Living,info@thewcenter.com,,ok,tmp-reach-warmup-ai-2026-05-20-import-ghl-results.json
Waterstone of Westchester,jkennedy@epochsl.com,,ok,tmp-reach-warmup-ai-2026-05-20-import-ghl-results.json
Broadview - Senior Living at Purchase College,connieh@broadviewseniorliving.org,,ok,tmp-reach-warmup-ai-2026-05-20-import-ghl-results.json
Drum Hill Senior Living Community,llomax@drumhill.org,,ok,tmp-reach-warmup-ai-2026-05-20-import-ghl-results.json
Providence House Assisted Living,providencehouse@coreypark.com,,ok,tmp-reach-warmup-ai-2026-05-20-import-ghl-results.json
Artisan at Hudson,artisanleasing@soleraseniorliving.com,,ok,tmp-reach-warmup-ai-2026-05-20-import-ghl-results.json
