name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery,qa_flags,qa_recommendation
Veterinary Emergency Center,surgery@criticalvet.com,+1 860-693-6992,http://www.vecofcanton.com/,"135 Dowd Ave #2471, Canton, CT 06019",Canton,Connecticut,Emergency veterinarian service,4.5,557,,https://search.google.com/local/reviews?placeid=ChIJ0TwxtaGo54kRH5JASWfhylY&q=*&authuser=0&hl=en&gl=US,,,relay,"emergency veterinary, Connecticut, USA",multiple_contacts_same_business,review_before_live
Veterinary Emergency Center,info@vecofcanton.com,+1 860-693-6992,http://www.vecofcanton.com/,"135 Dowd Ave #2471, Canton, CT 06019",Canton,Connecticut,Emergency veterinarian service,4.5,557,,https://search.google.com/local/reviews?placeid=ChIJ0TwxtaGo54kRH5JASWfhylY&q=*&authuser=0&hl=en&gl=US,,,relay,"emergency veterinary, Connecticut, USA",multiple_contacts_same_business,review_before_live
VCA Shoreline Veterinary Referral and Emergency Center,justina_marie54@hotmail.com,+1 203-929-8600,https://vcahospitals.com/shoreline%3Futm_source%3Dmaps%26utm_medium%3Dorganic%26utm_campaign%3DAU_733,"895 Bridgeport Ave, Shelton, CT 06484",Shelton,Connecticut,Emergency veterinarian service,3.2,454,,https://search.google.com/local/reviews?placeid=ChIJzaPFugEL6IkR2j15_VGMMVE&q=*&authuser=0&hl=en&gl=US,,,relay,"emergency veterinary, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
VCA Shoreline Veterinary Referral and Emergency Center,mooschue@gmail.com,+1 203-929-8600,https://vcahospitals.com/shoreline%3Futm_source%3Dmaps%26utm_medium%3Dorganic%26utm_campaign%3DAU_733,"895 Bridgeport Ave, Shelton, CT 06484",Shelton,Connecticut,Emergency veterinarian service,3.2,454,,https://search.google.com/local/reviews?placeid=ChIJzaPFugEL6IkR2j15_VGMMVE&q=*&authuser=0&hl=en&gl=US,,,relay,"emergency veterinary, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Central Hospital For Veterinary Medicine,ravenribbs@gmail.com,+1 203-865-0878,http://www.centralpetvet.com/,"4 Devine St, North Haven, CT 06473",North Haven,Connecticut,Emergency veterinarian service,3.6,707,,https://search.google.com/local/reviews?placeid=ChIJs6DUhM_Z54kRpNm4FYvYVqs&q=*&authuser=0&hl=en&gl=US,,,relay,"emergency veterinary, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Central Hospital For Veterinary Medicine,mpapero3@aol.com,+1 203-865-0878,http://www.centralpetvet.com/,"4 Devine St, North Haven, CT 06473",North Haven,Connecticut,Emergency veterinarian service,3.6,707,,https://search.google.com/local/reviews?placeid=ChIJs6DUhM_Z54kRpNm4FYvYVqs&q=*&authuser=0&hl=en&gl=US,,,relay,"emergency veterinary, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Central Hospital For Veterinary Medicine,twilightgo@aol.com,+1 203-865-0878,http://www.centralpetvet.com/,"4 Devine St, North Haven, CT 06473",North Haven,Connecticut,Emergency veterinarian service,3.6,707,,https://search.google.com/local/reviews?placeid=ChIJs6DUhM_Z54kRpNm4FYvYVqs&q=*&authuser=0&hl=en&gl=US,,,relay,"emergency veterinary, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Pieper Memorial Veterinary Center,internship@piepervet.com,+1 860-467-7405,https://pieperveterinary.com/locations/middletown-pieper-memorial/,"730 Randolph Rd, Middletown, CT 06457",Middletown,Connecticut,Emergency veterinarian service,4.1,1498,,https://search.google.com/local/reviews?placeid=ChIJMzbG3Io15okRQykS1ZBPB40&q=*&authuser=0&hl=en&gl=US,,,relay,"emergency veterinary, Connecticut, USA",multiple_contacts_same_business,review_before_live
Pieper Memorial Veterinary Center,cruggiero@piepervet.com,+1 860-467-7405,https://pieperveterinary.com/locations/middletown-pieper-memorial/,"730 Randolph Rd, Middletown, CT 06457",Middletown,Connecticut,Emergency veterinarian service,4.1,1498,,https://search.google.com/local/reviews?placeid=ChIJMzbG3Io15okRQykS1ZBPB40&q=*&authuser=0&hl=en&gl=US,,,relay,"emergency veterinary, Connecticut, USA",multiple_contacts_same_business,review_before_live
Pieper Memorial Veterinary Center,kkimball@piepervet.com,+1 860-467-7405,https://pieperveterinary.com/locations/middletown-pieper-memorial/,"730 Randolph Rd, Middletown, CT 06457",Middletown,Connecticut,Emergency veterinarian service,4.1,1498,,https://search.google.com/local/reviews?placeid=ChIJMzbG3Io15okRQykS1ZBPB40&q=*&authuser=0&hl=en&gl=US,,,relay,"emergency veterinary, Connecticut, USA",multiple_contacts_same_business,review_before_live
Veterinary Urgent and Wellcare Center,veterinaryurgentandwellcare@gmail.com,+1 860-321-1420,https://www.plainvillevet.com/,"19 Pine St, Plainville, CT 06062",Plainville,Connecticut,Veterinarian,4.2,639,,https://search.google.com/local/reviews?placeid=ChIJA6Y1w92x54kR49W4sZWXkJ0&q=*&authuser=0&hl=en&gl=US,,,relay,"emergency veterinary, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Veterinary Urgent and Wellcare Center,vsatyender@gmail.com,+1 860-321-1420,https://www.plainvillevet.com/,"19 Pine St, Plainville, CT 06062",Plainville,Connecticut,Veterinarian,4.2,639,,https://search.google.com/local/reviews?placeid=ChIJA6Y1w92x54kR49W4sZWXkJ0&q=*&authuser=0&hl=en&gl=US,,,relay,"emergency veterinary, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
