name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery,qa_flags,qa_recommendation,inventory_source_file
Climatech Mechanical Heating and Air Conditioning Services,mike@climatechmechanical.com,+1 475-253-5209,http://www.climatechmechanical.com/,"150 Dudley Ave, Wallingford, CT 06492",Wallingford,Connecticut,HVAC contractor,4.9,267,,https://search.google.com/local/reviews?placeid=ChIJK2KF7nXP54kR4erd6_p_CUw&q=*&authuser=0&hl=en&gl=US,,,relay,"HVAC contractor, Connecticut, USA",,ok,tmp-reach-warmup-relay-2026-05-22-a11-qa.csv
Santella Electric,service@santellaelectricinc.com,+1 203-966-9595,https://santellaelectricinc.com/,"4 Cross St, New Canaan, CT 06840",New Canaan,Connecticut,Electrician,4.9,260,,https://search.google.com/local/reviews?placeid=ChIJSRF75wynwokRCXjIM16-lPk&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA",,ok,tmp-reach-warmup-relay-2026-05-23-a13-qa.csv
LOU ELECTRIC LLC,info@louelectric.com,+1 203-524-4988,http://louelectric.com/,"46 Taylor Ave, Norwalk, CT 06854",Norwalk,Connecticut,Electrician,4.9,78,,https://search.google.com/local/reviews?placeid=ChIJVVwuxxpunI8R4f-Sv34yJ34&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA",,ok,tmp-reach-warmup-relay-2026-05-23-a13-qa.csv
All Weather Roofing,sales@allweatherroofsystems.com,+1 860-785-9000,http://www.allweatherroofsystems.com/,"175 Capital Blvd, Rocky Hill, CT 06067",Rocky Hill,Connecticut,Roofing contractor,5,45,,https://search.google.com/local/reviews?placeid=ChIJk83wHothhYAR0Fsl95xJdKM&q=*&authuser=0&hl=en&gl=US,,,relay,"roofing contractor, Connecticut, USA",,ok,tmp-reach-warmup-relay-2026-05-23-a14-qa.csv
Atlantic Heating & Air Conditioning,joniorio@atlantic-heat.com,+1 508-709-1335,https://www.atlantic-heat.com/,"116 Cypress St, Brookline, MA 02445",Brookline,Massachusetts,HVAC contractor,4.9,374,,https://search.google.com/local/reviews?placeid=ChIJlW_S4KN544kRjWtQ0QVE-w4&q=*&authuser=0&hl=en&gl=US,,,relay,"HVAC contractor, Massachusetts, USA",,ok,tmp-reach-warmup-relay-2026-05-23-a16-qa.csv
Obie Comfort Solutions,oberlanrosa@obiehvac.com,+1 508-233-3811,https://www.obiecomfortsolutions.com/,"82 Herbert St, Framingham, MA 01702",Framingham,Massachusetts,HVAC contractor,4.8,1341,,https://search.google.com/local/reviews?placeid=ChIJlyFFpDyI44kRIAz5SL8GufY&q=*&authuser=0&hl=en&gl=US,,,relay,"HVAC contractor, Massachusetts, USA",,ok,tmp-reach-warmup-relay-2026-05-23-a16-qa.csv
KEN's HVAC SERVICE,contact@kenhvacservice.com,+1 857-488-7470,https://kenhvacservice.com/,"28 College Farm Rd, Waltham, MA 02451",Waltham,Massachusetts,HVAC contractor,5,107,,https://search.google.com/local/reviews?placeid=ChIJpcBv7zzSpGgRyLmVBplcOCQ&q=*&authuser=0&hl=en&gl=US,,,relay,"HVAC contractor, Massachusetts, USA",,ok,tmp-reach-warmup-relay-2026-05-23-a16-qa.csv
"Cooling Unlimited, Inc.",tfrazier45@verizon.net,+1 781-944-1030,https://www.coolingunlimited.com/,"565 Main St, Reading, MA 01867",Reading,Massachusetts,HVAC contractor,4.8,761,,https://search.google.com/local/reviews?placeid=ChIJK98FhlkL44kRTMsxQAMFhac&q=*&authuser=0&hl=en&gl=US,,,relay,"HVAC contractor, Massachusetts, USA",,ok,tmp-reach-warmup-relay-2026-05-23-a16-qa.csv
AJP Electric,josh@ajpelectricllc.com,+1 860-875-7755,https://www.ajpelectricllc.com/%3Futm_source%3Dgoogle-gbp%26utm_medium%3Dorganic%26utm_campaign%3D*547*ajp-tolland,"221 Merrow Rd, Tolland, CT 06084",Tolland,Connecticut,Electrician,5,1174,,https://search.google.com/local/reviews?placeid=ChIJq6qqqmrz5okRZsqT5wiDoGI&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA",,ok,tmp-reach-warmup-relay-2026-05-24-a21-qa.csv
JP Carroll Roofing,mike@associateroofing.com,+1 860-281-2061,https://jpcarrollroofing.com/,"135 W Dudley Town Rd, Bloomfield, CT 06002",Bloomfield,Connecticut,Roofing contractor,4.8,1323,,https://search.google.com/local/reviews?placeid=ChIJORV542qt54kR9mDktIDlFE4&q=*&authuser=0&hl=en&gl=US,,,relay,"roofing contractor, Connecticut, USA",,ok,tmp-reach-warmup-relay-2026-05-25-a22-qa.csv
Sleepy Hollow Animal Hospital,vetnvild@verizon.net,+1 914-631-0606,https://www.sleepyhollowanimalhospital.com/,"340 N Broadway, Sleepy Hollow, NY 10591",Sleepy Hollow,New York,Animal hospital,4.8,253,,https://search.google.com/local/reviews?placeid=ChIJGTRw1DOUwokR2W27xemvLOk&q=*&authuser=0&hl=en&gl=US,,,relay,"veterinary, Westchester County NY, USA",,ok,tmp-reach-warmup-relay-2026-05-25-a23-qa.csv
