name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery,qa_flags,qa_recommendation
Wagging Tails Animal Daycare & Pet Spaw | Cat & Dog Boarding CT - Cat & Dog Grooming CT,outoftheashes5@gmail.com,+1 860-621-7387,https://waggingtails.com/wolcott-ct/,"802 Bound Line Rd, Wolcott, CT 06716",Wolcott,Connecticut,Pet groomer,3.9,349,,https://search.google.com/local/reviews?placeid=ChIJ9x68W4C354kRkSgx658cGrQ&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet groomer, Connecticut, USA",personal_email_domain,review_before_live
Pampered Pets A Doggy Day Spa,guenevere84@hotmail.com,+1 860-868-0912,http://petgroomingspa.com/,"278 New Milford Turnpike suite b, New Preston, CT 06777",New Preston,Connecticut,Pet groomer,4.9,54,,https://search.google.com/local/reviews?placeid=ChIJ8UoWjFj254kRvVe8Ni9kpYY&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet groomer, Connecticut, USA",personal_email_domain,review_before_live
Doggie Styles Pet Grooming,linnmadison@yahoo.com,+1 203-929-0075,http://www.doggiestylesgrooming.com/,"210 Leavenworth Rd, Shelton, CT 06484",Shelton,Connecticut,Pet groomer,4.9,309,,https://search.google.com/local/reviews?placeid=ChIJf1D4Y6zh54kRy5LplZOIFQo&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet groomer, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Doggie Styles Pet Grooming,qpd617@aol.com,+1 203-929-0075,http://www.doggiestylesgrooming.com/,"210 Leavenworth Rd, Shelton, CT 06484",Shelton,Connecticut,Pet groomer,4.9,309,,https://search.google.com/local/reviews?placeid=ChIJf1D4Y6zh54kRy5LplZOIFQo&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet groomer, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Woof Gang Bakery & Grooming West Hartford,jessica.abrahamsen@gmail.com,+1 860-216-5917,https://woofgangbakery.com/pages/locations/west-hartford,"62 Isham Rd, West Hartford, CT 06107",West Hartford,Connecticut,Pet groomer,4.4,245,,https://search.google.com/local/reviews?placeid=ChIJSQewYOys54kRcsBq_Y7Nqtw&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet groomer, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Woof Gang Bakery & Grooming West Hartford,lizbiernesser@yahoo.com,+1 860-216-5917,https://woofgangbakery.com/pages/locations/west-hartford,"62 Isham Rd, West Hartford, CT 06107",West Hartford,Connecticut,Pet groomer,4.4,245,,https://search.google.com/local/reviews?placeid=ChIJSQewYOys54kRcsBq_Y7Nqtw&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet groomer, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Wet Paws Dog Grooming,requests@wetpawsdogrooming.com,+1 203-665-0083,https://wetpawsdogrooming.com/,"4244 Madison Ave, Trumbull, CT 06611",Trumbull,Connecticut,Pet groomer,4.7,295,,https://search.google.com/local/reviews?placeid=ChIJ19NVyCoP6IkRrSfPTNchbTU&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet groomer, Connecticut, USA",,ok
Endless PAWSibilities Luxury Pet Grooming,martidonhart@yahoo.ca,+1 860-879-1402,https://booking.moego.pet/ol/landing%3Fname%3DEndlessPAWSibilties,"110 Greenridge Rd, Torrington, CT 06790",Torrington,Connecticut,Pet groomer,4.9,117,,https://search.google.com/local/reviews?placeid=ChIJkcNNi7yj54kRCpXt5C0Pj_s&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet groomer, Connecticut, USA",multiple_contacts_same_business,review_before_live
Endless PAWSibilities Luxury Pet Grooming,lut@iupui.edu,+1 860-879-1402,https://booking.moego.pet/ol/landing%3Fname%3DEndlessPAWSibilties,"110 Greenridge Rd, Torrington, CT 06790",Torrington,Connecticut,Pet groomer,4.9,117,,https://search.google.com/local/reviews?placeid=ChIJkcNNi7yj54kRCpXt5C0Pj_s&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet groomer, Connecticut, USA",multiple_contacts_same_business,review_before_live
Endless PAWSibilities Luxury Pet Grooming,marcom@simongroup.com,+1 860-879-1402,https://booking.moego.pet/ol/landing%3Fname%3DEndlessPAWSibilties,"110 Greenridge Rd, Torrington, CT 06790",Torrington,Connecticut,Pet groomer,4.9,117,,https://search.google.com/local/reviews?placeid=ChIJkcNNi7yj54kRCpXt5C0Pj_s&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet groomer, Connecticut, USA",multiple_contacts_same_business,review_before_live
