name,email,qa_flags,qa_recommendation,import_source_file
Wags Doggie Day Camp & Boarding,info@wagsdaycamp.com,,ok,tmp-reach-reviews-live-import-ghl-results.json
Merryall Kennels,jdickens@merryallkennels.com,,ok,tmp-reach-reviews-live-import-ghl-results.json
Valley Boarding Kennel,information@valleyboardingkennel.com,,ok,tmp-reach-reviews-live-import-ghl-results.json
Wet Paws Dog Grooming,requests@wetpawsdogrooming.com,,ok,tmp-reach-warmup-reviews-2026-05-20-import-ghl-results.json
Planet Bark,myra@planetbark.com,,ok,tmp-reach-warmup-reviews-2026-05-20-import-ghl-results.json
Paw Haven,thepack@pawhavenct.com,,ok,tmp-reach-warmup-reviews-2026-05-20-import-ghl-results.json
Milford Med Spa,frontdesk@holistichealingpartners.com,,ok,tmp-reach-warmup-reviews-2026-05-20-import-ghl-results.json
Magnolia Med Spa,amanda@magnoliamedspact.com,,ok,tmp-reach-warmup-reviews-2026-05-20-import-ghl-results.json
Downtown Dental CT,office@regentsdental.com,,ok,tmp-reach-warmup-reviews-2026-05-20-import-ghl-results.json
Center Dental Office,info@centerdentaloffice.com,,ok,tmp-reach-warmup-reviews-2026-05-20-import-ghl-results.json
Connecticut Family Dental Group,mailbox@ctfamilydentalgroup.com,,ok,tmp-reach-warmup-reviews-2026-05-20-import-ghl-results.json
Smile Dental Center,office@smiledentalcenterct.com,,ok,tmp-reach-warmup-reviews-2026-05-20-import-ghl-results.json
