name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery
J.S. Electrical LLC,jsmart@jselectrical-llc.com,+1 860-351-5660,http://www.jselectrical-llc.com/,"230 S Washington St UNIT 18, Plainville, CT 06062",Plainville,Connecticut,Electrical installation service,4.9,466,,https://search.google.com/local/reviews?placeid=ChIJKw8L2OWw54kRgxUQaMQV79k&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
J.S. Electrical LLC,help@jjandselectricllc.com,+1 860-351-5660,http://www.jselectrical-llc.com/,"230 S Washington St UNIT 18, Plainville, CT 06062",Plainville,Connecticut,Electrical installation service,4.9,466,,https://search.google.com/local/reviews?placeid=ChIJKw8L2OWw54kRgxUQaMQV79k&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
J.S. Electrical LLC,info@jjandselectricllc.com,+1 860-351-5660,http://www.jselectrical-llc.com/,"230 S Washington St UNIT 18, Plainville, CT 06062",Plainville,Connecticut,Electrical installation service,4.9,466,,https://search.google.com/local/reviews?placeid=ChIJKw8L2OWw54kRgxUQaMQV79k&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
A to Z Renovations NYC,atozrenovationsnyc@gmail.com,+1 212-652-2204,https://atozrenovationsny.com/,"6 W 20th St, New York, NY 10011",New York,New York,General contractor,5,80,,https://search.google.com/local/reviews?placeid=ChIJZ4JX6QlZwokRZCpNrjE2-9s&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
A to Z Renovations NYC,info@atozrenovationsny.com,+1 212-652-2204,https://atozrenovationsny.com/,"6 W 20th St, New York, NY 10011",New York,New York,General contractor,5,80,,https://search.google.com/local/reviews?placeid=ChIJZ4JX6QlZwokRZCpNrjE2-9s&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
"California Closets - New York, NY",customer-service@calclosets.com,+1 646-486-3905,https://www.locations.californiaclosets.com/california-closets-new-york-ny-880434b289c6%3Futm_source%3DGMB%26utm_medium%3Dlocal%26utm_campaign%3DGMB,"26 Varick St, New York, NY 10013",New York,New York,Interior designer,4.9,566,,https://search.google.com/local/reviews?placeid=ChIJYVFdM_VZwokRbzyDvh-pPuw&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
"California Closets - New York, NY",jerriemiller@calclosets.com,+1 646-486-3905,https://www.locations.californiaclosets.com/california-closets-new-york-ny-880434b289c6%3Futm_source%3DGMB%26utm_medium%3Dlocal%26utm_campaign%3DGMB,"26 Varick St, New York, NY 10013",New York,New York,Interior designer,4.9,566,,https://search.google.com/local/reviews?placeid=ChIJYVFdM_VZwokRbzyDvh-pPuw&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
"California Closets - New York, NY",info@locations.californiaclosets.com,+1 646-486-3905,https://www.locations.californiaclosets.com/california-closets-new-york-ny-880434b289c6%3Futm_source%3DGMB%26utm_medium%3Dlocal%26utm_campaign%3DGMB,"26 Varick St, New York, NY 10013",New York,New York,Interior designer,4.9,566,,https://search.google.com/local/reviews?placeid=ChIJYVFdM_VZwokRbzyDvh-pPuw&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
Accurate Electrical Contractors,z.sacirovski@accurateelectricalcontractors.com,+1 203-509-7027,http://accurateelectricalcontractors.com/contact-us/,"123 Union City Rd, Prospect, CT 06712",Prospect,Connecticut,Contractor,5,624,,https://search.google.com/local/reviews?placeid=ChIJ48FJr_vD54kR6WNuqijd2Ho&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
Accurate Electrical Contractors,accurateelectric79@gmail.com,+1 203-509-7027,http://accurateelectricalcontractors.com/contact-us/,"123 Union City Rd, Prospect, CT 06712",Prospect,Connecticut,Contractor,5,624,,https://search.google.com/local/reviews?placeid=ChIJ48FJr_vD54kR6WNuqijd2Ho&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
Safe and Sound Electric,john@safeandsoundelectric.com,+1 203-536-0021,https://safeandsoundelectric.com/%3Futm_source%3Dgbp%26utm_medium%3Dorganic,"112 Prospect St #304A, Stamford, CT 06901",Stamford,Connecticut,Electrician,4.9,313,,https://search.google.com/local/reviews?placeid=ChIJX4BRlaSYwokRiWjgdVAs8-c&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
Safe and Sound Electric,careers@safeandsoundelectric.com,+1 203-536-0021,https://safeandsoundelectric.com/%3Futm_source%3Dgbp%26utm_medium%3Dorganic,"112 Prospect St #304A, Stamford, CT 06901",Stamford,Connecticut,Electrician,4.9,313,,https://search.google.com/local/reviews?placeid=ChIJX4BRlaSYwokRiWjgdVAs8-c&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
Electrical Technicians of Connecticut LLC,info@electricaltechniciansct.com,+1 203-262-0481,https://www.electricaltechniciansct.com/,"100 Main St N #167, Southbury, CT 06488",Southbury,Connecticut,Electrician,4.8,19,,https://search.google.com/local/reviews?placeid=ChIJGZHDRHbl54kRse5UdH3m-x4&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
LOU ELECTRIC LLC,info@indiantypefoundry.com,+1 203-524-4988,http://louelectric.com/,"46 Taylor Ave, Norwalk, CT 06854",Norwalk,Connecticut,Electrician,4.9,78,,https://search.google.com/local/reviews?placeid=ChIJVVwuxxpunI8R4f-Sv34yJ34&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
LOU ELECTRIC LLC,info@louelectric.com,+1 203-524-4988,http://louelectric.com/,"46 Taylor Ave, Norwalk, CT 06854",Norwalk,Connecticut,Electrician,4.9,78,,https://search.google.com/local/reviews?placeid=ChIJVVwuxxpunI8R4f-Sv34yJ34&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
BASO Lighting,service@basolighting.com,+1 212-343-8100,https://www.basolighting.com/,"133 W 19th St, New York, NY 10011",New York,New York,Lighting manufacturer,5,16,,https://search.google.com/local/reviews?placeid=ChIJXZ6UqrdZwokRzeAUesuohYg&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
BASO Lighting,support@basolighting.com,+1 212-343-8100,https://www.basolighting.com/,"133 W 19th St, New York, NY 10011",New York,New York,Lighting manufacturer,5,16,,https://search.google.com/local/reviews?placeid=ChIJXZ6UqrdZwokRzeAUesuohYg&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
Casey Electrical Services,caseyelectricalservicesllc@gmail.com,+1 860-810-6003,https://www.caseyelectricalservices.com/,"97 Whiting St STE A, Plainville, CT 06062",Plainville,Connecticut,Electrician,4.7,137,,https://search.google.com/local/reviews?placeid=ChIJ2S_KH1cj5okR3UchAl_aXcw&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
Casey Electrical Services,info@caseyelectricalservices.com,+1 860-810-6003,https://www.caseyelectricalservices.com/,"97 Whiting St STE A, Plainville, CT 06062",Plainville,Connecticut,Electrician,4.7,137,,https://search.google.com/local/reviews?placeid=ChIJ2S_KH1cj5okR3UchAl_aXcw&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
Casey Electrical Services,joshcasey@caseyelectricalservices.com,+1 860-810-6003,https://www.caseyelectricalservices.com/,"97 Whiting St STE A, Plainville, CT 06062",Plainville,Connecticut,Electrician,4.7,137,,https://search.google.com/local/reviews?placeid=ChIJ2S_KH1cj5okR3UchAl_aXcw&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA"
