name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery
bluefrog Plumbing + Drain of Central Connecticut,ncfazzinoplumbing@gmail.com,+1 203-937-2772,https://www.bluefrogplumbingcentralct.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"121 N Plains Industrial Rd Unit R, Wallingford, CT 06492",Wallingford,Connecticut,Plumber,4.8,540,,https://search.google.com/local/reviews?placeid=ChIJh814gXLJ54kR6u3Rowl263I&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
bluefrog Plumbing + Drain of Central Connecticut,csr@bfplumbingct.com,+1 203-937-2772,https://www.bluefrogplumbingcentralct.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"121 N Plains Industrial Rd Unit R, Wallingford, CT 06492",Wallingford,Connecticut,Plumber,4.8,540,,https://search.google.com/local/reviews?placeid=ChIJh814gXLJ54kR6u3Rowl263I&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
"Advance Plumbing & Heating, Inc.",azplumbers@aol.com,+1 860-232-3053,https://www.advanceplumbingheating.com/,"700 N Mountain Rd, Newington, CT 06111",Newington,Connecticut,Plumber,4.8,680,,https://search.google.com/local/reviews?placeid=ChIJs28uEjat54kRPLczkTId6s4&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Joe the Plumber,joey@joeyperras.com,+1 860-614-7157,http://www.calljoetheplumber.com/,"350 Chapel Rd Unit 1, South Windsor, CT 06074",South Windsor,Connecticut,Plumber,4.7,623,,https://search.google.com/local/reviews?placeid=ChIJnTAJhnBW5okRC1FVEKlfz1w&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Roto-Rooter Plumbing & Water Cleanup,cfitzg6505@aol.com,+1 860-618-4053,https://www.rotorooter.com/hartford/%3Futm_source%3DGoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb%26utm_content%3Dwebsite,"750 Main St Ste 321, Hartford, CT 06103",Hartford,Connecticut,Plumber,4.8,1227,,https://search.google.com/local/reviews?placeid=ChIJ_____1Os54kRio6rk_FpEzA&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Roto-Rooter Plumbing & Water Cleanup,gjc3839@aol.com,+1 860-618-4053,https://www.rotorooter.com/hartford/%3Futm_source%3DGoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb%26utm_content%3Dwebsite,"750 Main St Ste 321, Hartford, CT 06103",Hartford,Connecticut,Plumber,4.8,1227,,https://search.google.com/local/reviews?placeid=ChIJ_____1Os54kRio6rk_FpEzA&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Roto-Rooter Plumbing & Water Cleanup,studwld@aol.com,+1 860-618-4053,https://www.rotorooter.com/hartford/%3Futm_source%3DGoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb%26utm_content%3Dwebsite,"750 Main St Ste 321, Hartford, CT 06103",Hartford,Connecticut,Plumber,4.8,1227,,https://search.google.com/local/reviews?placeid=ChIJ_____1Os54kRio6rk_FpEzA&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
"Escape Plumbing & Heating, LLC",escapeplumbing@optonline.net,+1 860-590-8481,http://escapeplumbing.com/,"8 West St, Morris, CT 06763",Morris,Connecticut,Plumber,5,301,,https://search.google.com/local/reviews?placeid=ChIJy0SUK8mT54kRUut523vwXts&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
"Escape Plumbing & Heating, LLC",escapeplumbing@gmail.com,+1 860-590-8481,http://escapeplumbing.com/,"8 West St, Morris, CT 06763",Morris,Connecticut,Plumber,5,301,,https://search.google.com/local/reviews?placeid=ChIJy0SUK8mT54kRUut523vwXts&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Vanguard Plumbing Solutions LLC,hello@rfuenzalida.com,+1 860-266-5370,http://vanguardplumbingsolutions.com/,"491 Bantam Rd # C, Litchfield, CT 06759",Litchfield,Connecticut,Plumber,4.9,177,,https://search.google.com/local/reviews?placeid=ChIJ0-P1ApDQKEIR1km4f6Vl1z4&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Vanguard Plumbing Solutions LLC,matt@pixelspread.com,+1 860-266-5370,http://vanguardplumbingsolutions.com/,"491 Bantam Rd # C, Litchfield, CT 06759",Litchfield,Connecticut,Plumber,4.9,177,,https://search.google.com/local/reviews?placeid=ChIJ0-P1ApDQKEIR1km4f6Vl1z4&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Vanguard Plumbing Solutions LLC,tim@vanguardplumbingsolutions.com,+1 860-266-5370,http://vanguardplumbingsolutions.com/,"491 Bantam Rd # C, Litchfield, CT 06759",Litchfield,Connecticut,Plumber,4.9,177,,https://search.google.com/local/reviews?placeid=ChIJ0-P1ApDQKEIR1km4f6Vl1z4&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
"Clog Master Plumbing, HVAC and Water Damage Restoration Services",fire_06786@yahoo.com,+1 860-709-8427,https://clogmasterllc.com/,"19b Andover Dr, West Hartford, CT 06110",West Hartford,Connecticut,Plumber,4.7,465,,https://search.google.com/local/reviews?placeid=ChIJn3zdV8-w54kRL9B2fsJTqs0&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
